"","name","country","polyID","designation","point","iucn_cat","WDPAID","median","upper","lower"
"454","Dargazu","NGA",474,"Forest Reserve","polygon","Not Reported",36410,0.405,0.613,0.2
"455","Darou-salam","GIN",31,"Classified Forest","polygon","Not Reported",29379,0.26,0.382,0.206
"456","Dassieko","CIV",123,"Classified Forest","polygon","Not Reported",300966,NA,NA,NA
"457","Dasun","NGA",642,"Forest Reserve","polygon","Not Reported",36588,0.357,0.614,0.219
"458","Datsinudara","NGA",622,"Forest Reserve","polygon","Not Reported",36567,0.344,0.575,0.193
"459","Daura","NGA",272,"Forest Reserve","polygon","Not Reported",36200,0.336,0.493,0.246
"460","Davo","CIV",27,"Classified Forest","polygon","Not Reported",29594,0.515,0.71,0.402
"461","Dawaki","NGA",717,"Forest Reserve","polygon","Not Reported",36665,0.297,0.455,0.202
"462","Dawan Allah","NGA",268,"Forest Reserve","polygon","Not Reported",36196,0.341,0.48,0.235
"463","Dayi","NGA",446,"Forest Reserve","polygon","Not Reported",36380,0.254,0.37,0.2
"464","Dayigora","NGA",447,"Forest Reserve","polygon","Not Reported",36381,0.254,0.37,0.2
"465","De","CIV",49,"Classified Forest","polygon","Not Reported",300850,0.519,0.722,0.381
"466","Deali","SEN",32,"Not Reported","polygon","Not Reported",352622,0.564,0.742,0.325
"467","Dechidan Stream","GHA",171,"Forest Reserve","polygon","Not Reported",303954,0.485,0.618,0.405
"468","Dede","GHA",8,"Forest Reserve","polygon","Not Reported",26449,0.334,0.473,0.272
"469","Dekina","NGA",872,"Forest Reserve","polygon","Not Reported",36854,0.368,0.561,0.269
"470","Delta du Saloum","SEN",13,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",68153,0.44,0.621,0.251
"471","Delta du Saloum","SEN",2,"National Park","polygon","II",866,0.536,0.754,0.335
"472","Dem","BFA",27,"Classified Forest","polygon","Not Reported",28549,0.387,0.668,0.204
"473","Demsa","NGA",751,"Forest Reserve","polygon","Not Reported",36699,0.331,0.614,0.139
"474","Dende","NGA",421,"Forest Reserve","polygon","Not Reported",36349,0.375,0.62,0.157
"475","Denyau Shelterbelt","GHA",26,"Forest Reserve","polygon","Not Reported",40677,0.47,0.666,0.386
"476","Dep River","NGA",771,"Forest Reserve","polygon","Not Reported",36721,0.406,0.626,0.233
"477","Desiri","GHA",58,"Forest Reserve","polygon","Not Reported",40756,0.475,0.686,0.368
"478","Deux Bales","BFA",2,"National Park","polygon","II",2344,0.374,0.658,0.168
"479","Dialakoro","MLI",26,"Wildlife Reserve","polygon","IV",555556066,0.393,0.632,0.2
"480","Diambarakrou","CIV",5,"Classified Forest","polygon","Not Reported",29499,0.475,0.682,0.387
"481","Dida","BFA",5,"Classified Forest","polygon","Not Reported",7517,0.343,0.574,0.182
"482","Diecke","GIN",106,"Classified Forest","polygon","Not Reported",29484,0.551,0.662,0.396
"483","Diefoula","BFA",6,"Classified Forest","polygon","Not Reported",7518,0.341,0.591,0.19
"484","Digya","GHA",247,"National Park","polygon","II",670,0.399,0.637,0.27
"485","Dinderesso","BFA",47,"Classified Forest","polygon","Not Reported",28571,0.367,0.589,0.204
"486","Diogoure","GIN",24,"Classified Forest","polygon","Not Reported",29371,0.281,0.368,0.217
"487","Disue River","GHA",129,"Forest Reserve","polygon","Not Reported",40836,0.416,0.503,0.332
"488","Divana","NGA",562,"Forest Reserve","polygon","Not Reported",36501,0.364,0.629,0.151
"489","Divo","CIV",1,"Botanical Reserve","polygon","Not Reported",7390,0.521,0.726,0.405
"490","Dixinn","GIN",8,"Classified Forest","polygon","Not Reported",29335,NA,NA,NA
"491","Djamde","TGO",29,"Faunal Reserve","polygon","IV",20976,0.323,0.539,0.233
"492","Djangoumerila","MLI",25,"Wildlife Reserve","polygon","IV",555556065,0.38,0.544,0.197
"493","Djemegni","TGO",8,"Forest Reserve","polygon","Not Reported",37144,0.447,0.592,0.301
"494","Djibia","NGA",258,"Forest Reserve","polygon","Not Reported",36185,0.319,0.47,0.232
"495","Djigbe","BEN",3,"Classified Forest","polygon","Not Reported",5161,0.381,0.522,0.31
"496","Djimbera Bantiguel","GIN",39,"Classified Forest","polygon","Not Reported",29391,0.31,0.453,0.226
"497","Djinetoumanina","MLI",28,"Wildlife Reserve","polygon","IV",555556067,0.384,0.594,0.203
"498","Djona","BEN",7,"Hunting Zone","polygon","VI",2252,0.35,0.579,0.143
"499","Djoudj National Bird Sanctuary","SEN",114,"World Heritage Site","polygon","Not Applicable",2578,0.424,0.548,0.335
"500","Djoudj","SEN",12,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",68151,0.424,0.548,0.335
"501","Dodo Hills","SLE",15,"Forest Reserve","polygon","Not Reported",29974,0.426,0.526,0.356
"502","Dogan Dawa","NGA",443,"Forest Reserve","polygon","Not Reported",36375,0.216,0.37,0.15
"503","Dogo","BEN",28,"Classified Forest","polygon","Not Reported",19277,0.419,0.607,0.267
"504","Dogodou","CIV",25,"Classified Forest","polygon","Not Reported",29583,0.622,0.732,0.446
"505","Dogwandaji","NGA",410,"Forest Reserve","polygon","Not Reported",36338,0.411,0.694,0.197
"506","Doka","NGA",656,"Forest Reserve","polygon","Not Reported",36602,0.331,0.544,0.2
"507","Dokin","NGA",938,"Forest Reserve","polygon","Not Reported",300732,0.221,0.37,0.154
"508","Dokoro","GIN",58,"Classified Forest","polygon","Not Reported",29416,0.266,0.402,0.19
"509","Doli","SEN",39,"Not Reported","polygon","Not Reported",352629,0.621,0.83,0.309
"510","Doma","NGA",796,"Forest Reserve","polygon","Not Reported",36746,0.374,0.628,0.254
"511","Dome River","GHA",156,"Forest Reserve","polygon","Not Reported",40865,0.439,0.641,0.351
"512","Dono","NGA",270,"Forest Reserve","polygon","Not Reported",36198,0.369,0.531,0.247
"513","Dora Diaro","CIV",201,"Classified Forest","polygon","Not Reported",300818,0.494,0.684,0.35
"514","Doro","NGA",629,"Forest Reserve","polygon","Not Reported",36574,0.306,0.524,0.198
"515","Dorofi","NGA",85,"Forest Reserve","polygon","Not Reported",36913,0.318,0.368,0.24
"516","Draw River","GHA",123,"Forest Reserve","polygon","Not Reported",40829,0.374,0.435,0.309
"517","Duekoue","CIV",30,"Classified Forest","polygon","Not Reported",29598,0.507,0.695,0.386
"518","Duisin Bamli","NGA",269,"Forest Reserve","polygon","Not Reported",36197,0.365,0.521,0.246
"519","Dukku","NGA",534,"Forest Reserve","polygon","Not Reported",36473,0.269,0.39,0.14
"520","Dulombi","GNB",10,"National Park","polygon","Not Reported",33050,0.377,0.617,0.23
"521","Duma","NGA",645,"Forest Reserve","polygon","Not Reported",36591,0.329,0.606,0.224
"522","Dumbari Futu","NGA",349,"Forest Reserve","polygon","Not Reported",36277,0.322,0.53,0.21
"523","Dumbua","TGO",39,"Forest Reserve","polygon","Not Reported",37146,0.323,0.539,0.233
"524","Dungal","GNB",14,"Forest Reserve","polygon","Not Reported",342658,0.514,0.818,0.356
"525","Dungunde","NGA",475,"Forest Reserve","polygon","Not Reported",36411,0.295,0.423,0.201
"526","Dunwli","GHA",240,"Forest Reserve","polygon","Not Reported",303950,0.377,0.639,0.218
"527","Dupa","NGA",653,"Forest Reserve","polygon","Not Reported",36599,0.343,0.622,0.235
"528","Dusuwa","NGA",489,"Forest Reserve","polygon","Not Reported",36428,0.31,0.482,0.186
"529","Dutsen Amina","NGA",542,"Forest Reserve","polygon","Not Reported",36481,0.264,0.484,0.141
"530","Dutsen Bello","NGA",584,"Forest Reserve","polygon","Not Reported",36525,0.19,0.266,0.147
"531","Dutsen Kurafe","NGA",781,"Forest Reserve","polygon","Not Reported",36731,0.322,0.521,0.219
"532","Dutsin Dorowa","NGA",429,"Forest Reserve","polygon","Not Reported",36358,0.254,0.371,0.201
"533","Dutsin Gora","NGA",586,"Forest Reserve","polygon","Not Reported",36527,0.19,0.266,0.147
"534","Dutsin Kodawa","NGA",374,"Forest Reserve","polygon","Not Reported",36302,0.297,0.483,0.228
"535","Dutsin Kuba","NGA",262,"Forest Reserve","polygon","Not Reported",36189,0.319,0.47,0.232
"536","Dutsin Kwaita","NGA",373,"Forest Reserve","polygon","Not Reported",36301,0.29,0.457,0.234
"537","Duya","NGA",440,"Forest Reserve","polygon","Not Reported",36372,0.202,0.275,0.152
"538","Dyengele","CIV",144,"Classified Forest","polygon","Not Reported",29624,0.325,0.495,0.184
"539","East Anka","NGA",398,"Forest Reserve","polygon","Not Reported",36326,0.247,0.402,0.163
"540","East Nimba","LBR",13,"National Park","polygon","Not Reported",9176,0.578,0.679,0.428
"541","Eba Island","NGA",139,"Forest Reserve","polygon","Not Reported",36972,NA,NA,NA
"542","Ebba","NGA",811,"Forest Reserve","polygon","Not Reported",36761,0.327,0.531,0.213
"543","Ebbe-Kampe","NGA",224,"Game Reserve","polygon","Not Reported",7834,0.354,0.576,0.244
"544","Ebi Shelterbelt River","GHA",124,"Forest Reserve","polygon","Not Reported",40830,NA,NA,NA
"545","Ebor","NGA",212,"Forest Reserve","polygon","Not Reported",300893,0.465,0.57,0.399
"546","Ebrinenou","CIV",68,"Classified Forest","polygon","Not Reported",300878,0.5,0.673,0.375
"547","Ebue","NGA",115,"Forest Reserve","polygon","Not Reported",36947,0.465,0.571,0.399
"548","Eda 1","NGA",963,"Forest Reserve","polygon","Not Reported",300825,0.346,0.484,0.254
"549","Eda 2","NGA",861,"Forest Reserve","polygon","Not Reported",36824,0.346,0.484,0.254
"550","Ede","NGA",858,"Forest Reserve","polygon","Not Reported",36815,0.387,0.548,0.303
"551","Edoko Hills","NGA",829,"Forest Reserve","polygon","Not Reported",36779,0.343,0.622,0.235
"552","Edotsu","NGA",800,"Forest Reserve","polygon","Not Reported",36750,0.343,0.622,0.235
"553","Edumanom","NGA",196,"Forest Reserve","polygon","Not Reported",37032,0.411,0.493,0.342
"554","Efan","NGA",828,"Forest Reserve","polygon","Not Reported",36778,0.319,0.579,0.214
"555","Effium","NGA",92,"Forest Reserve","polygon","Not Reported",36922,0.474,0.653,0.359
"556","Egbe","NGA",862,"Forest Reserve","polygon","Not Reported",36843,0.346,0.484,0.254
"557","Egbedi Creek","NGA",166,"Forest Reserve","polygon","Not Reported",37000,0.441,0.506,0.372
"558","Eggua","NGA",201,"Forest Reserve","polygon","Not Reported",37037,0.411,0.546,0.324
"559","Ehor","NGA",211,"Forest Reserve","polygon","Not Reported",300886,0.439,0.572,0.36
"560","Ejidogardi","NGA",824,"Forest Reserve","polygon","Not Reported",36774,0.296,0.558,0.203
"561","Ejigbo","NGA",853,"Forest Reserve","polygon","Not Reported",36805,0.386,0.563,0.293
"562","Ejigbobini","NGA",140,"Forest Reserve","polygon","Not Reported",36973,0.352,0.421,0.244
"563","Ekenwan","NGA",154,"Forest Reserve","polygon","Not Reported",36988,0.382,0.447,0.298
"564","Ekiadolor","NGA",151,"Forest Reserve","polygon","Not Reported",36984,0.423,0.515,0.361
"565","Ekiadolor","NGA",151,"Forest Reserve","polygon","Not Reported",300883,0.423,0.515,0.361
"566","Ekiadolor","NGA",210,"Forest Reserve","polygon","Not Reported",36984,0.428,0.563,0.36
"567","Ekiadolor","NGA",210,"Forest Reserve","polygon","Not Reported",300883,0.428,0.563,0.36
"568","Ekinta River","NGA",178,"Forest Reserve","polygon","Not Reported",37014,0.354,0.403,0.271
"569","Eleiyele","NGA",27,"Forest Reserve","polygon","Not Reported",36814,0.415,0.571,0.323
"570","Elroukro","CIV",60,"Classified Forest","polygon","Not Reported",300862,0.511,0.664,0.351
"571","Eme River","NGA",189,"Forest Reserve","polygon","Not Reported",37025,0.506,0.607,0.437
"572","Enugu","NGA",214,"Forest Reserve","polygon","Not Reported",300898,0.504,0.632,0.417
"573","Eporo","NGA",41,"Forest Reserve","polygon","Not Reported",36836,0.434,0.566,0.352
"574","Eruwa","NGA",23,"Forest Reserve","polygon","Not Reported",36809,0.422,0.602,0.289
"575","Esen Epam","GHA",99,"Forest Reserve","polygon","Not Reported",40799,0.447,0.629,0.359
"576","Esie","NGA",832,"Forest Reserve","polygon","Not Reported",36783,0.33,0.497,0.228
"577","Esuboni For","GHA",100,"Forest Reserve","polygon","Not Reported",40800,0.447,0.63,0.36
"578","Esukawkaw","GHA",82,"Forest Reserve","polygon","Not Reported",40782,0.424,0.635,0.334
"579","Etizurugi","NGA",684,"Forest Reserve","polygon","Not Reported",36632,0.39,0.643,0.204
"580","Eto","TGO",9,"Forest Reserve","polygon","Not Reported",37147,0.448,0.594,0.348
"581","Ewohimi","NGA",116,"Forest Reserve","polygon","Not Reported",36948,0.457,0.594,0.385
"582","Ewun Rafia","NGA",892,"Forest Reserve","polygon","Not Reported",342474,0.413,0.639,0.181
"583","Fada Archei","TCD",14,"Faunal Reserve","polygon","IV",9033,0.443,0.537,0.302
"584","Fadaman Mada","NGA",585,"Forest Reserve","polygon","Not Reported",36526,0.19,0.266,0.147
"585","Fahu","NGA",368,"Forest Reserve","polygon","Not Reported",36296,0.254,0.37,0.2
"586","Falgore Kogin Kano","NGA",233,"Game Reserve","polygon","IV",7875,0.217,0.281,0.173
"587","Falomi","NGA",357,"Forest Reserve","polygon","Not Reported",36285,0.322,0.507,0.219
"588","Faragama","MLI",10,"Hunting Area","polygon","VI",555556057,0.397,0.791,0.238
"589","Farangbaia","SLE",16,"Forest Reserve","polygon","Not Reported",29980,0.402,0.52,0.312
"590","Farfar","NGA",249,"Forest Reserve","polygon","Not Reported",36176,0.449,0.716,0.267
"591","Farin Ruwa","NGA",482,"Forest Reserve","polygon","Not Reported",36420,0.236,0.375,0.165
"592","Fatika","NGA",437,"Forest Reserve","polygon","Not Reported",36369,0.202,0.275,0.152
"593","Fazao-Malfakassa","TGO",26,"National Park","polygon","II",2340,0.345,0.551,0.244
"594","Fefeku","NGA",378,"Forest Reserve","polygon","Not Reported",36306,0.29,0.457,0.234
"595","Fello-Selouma","GIN",67,"Classified Forest","polygon","Not Reported",29434,0.372,0.607,0.204
"596","Fello Digue","GIN",51,"Classified Forest","polygon","Not Reported",29408,0.37,0.624,0.238
"597","Fello Sounga","GIN",49,"Classified Forest","polygon","Not Reported",29406,0.352,0.6,0.224
"598","Femari","NGA",507,"Forest Reserve","polygon","Not Reported",36446,0.336,0.578,0.179
"599","Feri","NGA",670,"Forest Reserve","polygon","Not Reported",36616,0.237,0.387,0.168
"600","Ferlo-Nord","SEN",7,"Wildlife Reserve","polygon","IV",2333,0.576,0.779,0.308
"601","Ferlo-Sud","SEN",6,"Wildlife Reserve","polygon","IV",2332,0.595,0.826,0.305
"602","Fiankonya Stream","GHA",168,"Forest Reserve","polygon","Not Reported",40894,0.485,0.618,0.405
"603","Fina","MLI",24,"Wildlife Reserve","polygon","IV",2329,0.445,0.831,0.235
"604","Finukunu","NGA",316,"Forest Reserve","polygon","Not Reported",36244,0.361,0.609,0.226
"605","Fitacouna","GIN",23,"Classified Forest","polygon","Not Reported",29370,0.334,0.489,0.219
"606","Flawa","MLI",9,"Hunting Area","polygon","VI",317192,0.473,0.849,0.266
"607","Foge Islands","NGA",5,"Ramsar Site, Wetland of International Importance","polygon","Not Applicable",903107,0.313,0.531,0.196
"608","Forest Reserve Name Unknown NGA No1","NGA",897,"Forest Reserve","polygon","Not Reported",300680,0.449,0.695,0.278
"609","Forest Reserve Name Unknown NGA No11","NGA",905,"Forest Reserve","polygon","Not Reported",300690,0.322,0.53,0.21
"610","Forest Reserve Name Unknown NGA No12","NGA",906,"Forest Reserve","polygon","Not Reported",300691,0.354,0.586,0.208
"611","Forest Reserve Name Unknown NGA No13","NGA",907,"Forest Reserve","polygon","Not Reported",300692,0.322,0.53,0.21
"612","Forest Reserve Name Unknown NGA No14","NGA",908,"Forest Reserve","polygon","Not Reported",300693,0.3,0.44,0.208
"613","Forest Reserve Name Unknown NGA No15","NGA",909,"Forest Reserve","polygon","Not Reported",300694,0.294,0.475,0.212
"614","Forest Reserve Name Unknown NGA No16","NGA",910,"Forest Reserve","polygon","Not Reported",300695,0.278,0.461,0.208
"615","Forest Reserve Name Unknown NGA No17","NGA",911,"Forest Reserve","polygon","Not Reported",300696,0.278,0.461,0.208
"616","Forest Reserve Name Unknown NGA No18","NGA",912,"Forest Reserve","polygon","Not Reported",300697,0.278,0.461,0.208
"617","Forest Reserve Name Unknown NGA No19","NGA",913,"Forest Reserve","polygon","Not Reported",300699,0.318,0.516,0.217
"618","Forest Reserve Name Unknown NGA No2","NGA",898,"Forest Reserve","polygon","Not Reported",300681,0.449,0.695,0.278
"619","Forest Reserve Name Unknown NGA No20","NGA",914,"Forest Reserve","polygon","Not Reported",300700,0.303,0.466,0.217
"620","Forest Reserve Name Unknown NGA No21","NGA",915,"Forest Reserve","polygon","Not Reported",300701,0.297,0.453,0.212
"621","Forest Reserve Name Unknown NGA No22","NGA",916,"Forest Reserve","polygon","Not Reported",300702,0.289,0.408,0.158
"622","Forest Reserve Name Unknown NGA No23","NGA",917,"Forest Reserve","polygon","Not Reported",300703,0.32,0.514,0.159
"623","Forest Reserve Name Unknown NGA No24","NGA",918,"Forest Reserve","polygon","Not Reported",300704,0.293,0.41,0.189
"624","Forest Reserve Name Unknown NGA No25","NGA",919,"Forest Reserve","polygon","Not Reported",300705,0.3,0.457,0.164
"625","Forest Reserve Name Unknown NGA No26","NGA",920,"Forest Reserve","polygon","Not Reported",300706,0.293,0.41,0.189
"626","Forest Reserve Name Unknown NGA No27","NGA",921,"Forest Reserve","polygon","Not Reported",300707,0.293,0.41,0.189
"627","Forest Reserve Name Unknown NGA No28","NGA",922,"Forest Reserve","polygon","Not Reported",300708,0.293,0.41,0.189
"628","Forest Reserve Name Unknown NGA No29","NGA",923,"Forest Reserve","polygon","Not Reported",300709,0.238,0.348,0.183
"629","Forest Reserve Name Unknown NGA No3","NGA",899,"Forest Reserve","polygon","Not Reported",300682,0.449,0.695,0.278
"630","Forest Reserve Name Unknown NGA No30","NGA",925,"Forest Reserve","polygon","Not Reported",300711,0.254,0.406,0.182
"631","Forest Reserve Name Unknown NGA No31","NGA",926,"Forest Reserve","polygon","Not Reported",300712,0.251,0.402,0.187
"632","Forest Reserve Name Unknown NGA No32","NGA",927,"Forest Reserve","polygon","Not Reported",300713,0.206,0.284,0.168
"633","Forest Reserve Name Unknown NGA No33","NGA",928,"Forest Reserve","polygon","Not Reported",300714,0.295,0.423,0.201
"634","Forest Reserve Name Unknown NGA No34","NGA",929,"Forest Reserve","polygon","Not Reported",300715,0.221,0.274,0.167
"635","Forest Reserve Name Unknown NGA No35","NGA",930,"Forest Reserve","polygon","Not Reported",300716,0.269,0.388,0.163
"636","Forest Reserve Name Unknown NGA No36","NGA",931,"Forest Reserve","polygon","Not Reported",300717,0.207,0.263,0.159
"637","Forest Reserve Name Unknown NGA No37","NGA",934,"Forest Reserve","polygon","Not Reported",300723,0.322,0.546,0.174
"638","Forest Reserve Name Unknown NGA No38","NGA",935,"Forest Reserve","polygon","Not Reported",300724,0.35,0.638,0.17
"639","Forest Reserve Name Unknown NGA No39","NGA",936,"Forest Reserve","polygon","Not Reported",300725,0.35,0.638,0.17
"640","Forest Reserve Name Unknown NGA No40","NGA",937,"Forest Reserve","polygon","Not Reported",300728,0.321,0.535,0.141
"641","Forest Reserve Name Unknown NGA No41","NGA",939,"Forest Reserve","polygon","Not Reported",300733,0.198,0.259,0.156
"642","Forest Reserve Name Unknown NGA No42","NGA",940,"Forest Reserve","polygon","Not Reported",300734,0.198,0.259,0.156
"643","Forest Reserve Name Unknown NGA No43","NGA",941,"Forest Reserve","polygon","Not Reported",300736,0.219,0.305,0.145
"644","Forest Reserve Name Unknown NGA No44","NGA",943,"Forest Reserve","polygon","Not Reported",300740,0.233,0.273,0.155
"645","Forest Reserve Name Unknown NGA No45","NGA",944,"Forest Reserve","polygon","Not Reported",300742,0.198,0.259,0.156
"646","Forest Reserve Name Unknown NGA No46","NGA",945,"Forest Reserve","polygon","Not Reported",300744,0.198,0.259,0.156
"647","Forest Reserve Name Unknown NGA No47","NGA",946,"Forest Reserve","polygon","Not Reported",300745,0.198,0.259,0.156
"648","Forest Reserve Name Unknown NGA No48","NGA",947,"Forest Reserve","polygon","Not Reported",300746,0.198,0.259,0.156
"649","Forest Reserve Name Unknown NGA No49","NGA",948,"Forest Reserve","polygon","Not Reported",300751,0.264,0.484,0.141
"650","Forest Reserve Name Unknown NGA No5","NGA",900,"Forest Reserve","polygon","Not Reported",300684,0.386,0.609,0.237
"651","Forest Reserve Name Unknown NGA No50","NGA",949,"Forest Reserve","polygon","Not Reported",300752,0.219,0.305,0.145
"652","Forest Reserve Name Unknown NGA No51","NGA",950,"Forest Reserve","polygon","Not Reported",300757,0.331,0.547,0.196
"653","Forest Reserve Name Unknown NGA No52","NGA",951,"Forest Reserve","polygon","Not Reported",300758,0.358,0.579,0.196
"654","Forest Reserve Name Unknown NGA No53","NGA",952,"Forest Reserve","polygon","Not Reported",300760,0.274,0.45,0.186
"655","Forest Reserve Name Unknown NGA No56","NGA",953,"Forest Reserve","polygon","Not Reported",300765,0.358,0.579,0.196
"656","Forest Reserve Name Unknown NGA No57","NGA",954,"Forest Reserve","polygon","Not Reported",300766,0.271,0.466,0.199
"657","Forest Reserve Name Unknown NGA No58","NGA",955,"Forest Reserve","polygon","Not Reported",300769,0.358,0.579,0.196
"658","Forest Reserve Name Unknown NGA No59","NGA",956,"Forest Reserve","polygon","Not Reported",300771,0.358,0.579,0.196
"659","Forest Reserve Name Unknown NGA No6","NGA",901,"Forest Reserve","polygon","Not Reported",300685,0.386,0.609,0.237
"660","Forest Reserve Name Unknown NGA No61","NGA",960,"Forest Reserve","polygon","Not Reported",300799,0.33,0.585,0.223
"661","Forest Reserve Name Unknown NGA No62","NGA",961,"Forest Reserve","polygon","Not Reported",300801,0.362,0.607,0.241
"662","Forest Reserve Name Unknown NGA No69","NGA",213,"Forest Reserve","polygon","Not Reported",300896,0.5,0.608,0.409
"663","Forest Reserve Name Unknown NGA No7","NGA",902,"Forest Reserve","polygon","Not Reported",300686,0.37,0.561,0.251
"664","Forest Reserve Name Unknown NGA No72","NGA",215,"Forest Reserve","polygon","Not Reported",300906,0.5,0.608,0.409
"665","Forest Reserve Name Unknown NGA No74","NGA",216,"Forest Reserve","polygon","Not Reported",300916,0.5,0.608,0.409
"666","Forest Reserve Name Unknown NGA No75","NGA",217,"Forest Reserve","polygon","Not Reported",300917,0.465,0.602,0.384
"667","Forest Reserve Name Unknown NGA No78","NGA",218,"Forest Reserve","polygon","Not Reported",300922,0.471,0.614,0.385
"668","Forest Reserve Name Unknown NGA No8","NGA",903,"Forest Reserve","polygon","Not Reported",300687,0.289,0.448,0.24
"669","Forest Reserve Name Unknown NGA No80","NGA",219,"Forest Reserve","polygon","Not Reported",300925,0.471,0.614,0.385
"670","Forest Reserve Name Unknown NGA No9","NGA",904,"Forest Reserve","polygon","Not Reported",300688,0.319,0.478,0.224
"671","Forest Reserve Name unknown1","SLE",27,"Forest Reserve","polygon","Not Reported",303926,0.405,0.505,0.308
"672","Forest Reserve Name unknown2","SLE",28,"Forest Reserve","polygon","Not Reported",303927,0.405,0.505,0.308
"673","Forest Reserve Name unknown3","SLE",29,"Forest Reserve","polygon","Not Reported",303928,0.392,0.477,0.291
"674","Forest Reserve Name unknown4","SLE",4,"Forest Reserve","polygon","Not Reported",303929,NA,NA,NA
"675","Forest Reserve Name unknown5","SLE",5,"Forest Reserve","polygon","Not Reported",303930,NA,NA,NA
"676","Forest Reserve Name unknown6","SLE",6,"Forest Reserve","polygon","Not Reported",303931,NA,NA,NA
"677","Forest Reserve Name unknown7","SLE",7,"Forest Reserve","polygon","Not Reported",303932,NA,NA,NA
"678","Forest Reserve Name unknown8","SLE",36,"Forest Reserve","polygon","Not Reported",303933,0.406,0.528,0.308
"679","Foret d'Essom","SEN",77,"Forest Reserve","polygon","Not Reported",352667,0.498,0.761,0.306
"680","Foret d'Oukout","SEN",100,"Forest Reserve","polygon","Not Reported",352690,NA,NA,NA
"681","Foret de Amboura","SEN",16,"Forest Reserve","polygon","Not Reported",352606,0.521,0.734,0.358
"682","Foret de Bafata","SEN",97,"Forest Reserve","polygon","Not Reported",352687,0.493,0.813,0.318
"683","Foret de Bakor","SEN",79,"Forest Reserve","polygon","Not Reported",352669,0.615,0.875,0.399
"684","Foret de Bala- Est","SEN",51,"Forest Reserve","polygon","Not Reported",352641,0.567,0.864,0.301
"685","Foret de Bala- Ouest","SEN",57,"Forest Reserve","polygon","Not Reported",352647,0.608,0.903,0.315
"686","Foret de Bandia","SEN",42,"Forest Reserve","polygon","Not Reported",352632,NA,NA,NA
"687","Foret de Bari","SEN",87,"Forest Reserve","polygon","Not Reported",352677,0.545,0.822,0.378
"688","Foret de Baria","SEN",71,"Forest Reserve","polygon","Not Reported",352661,0.567,0.812,0.362
"689","Foret de Bignona","SEN",104,"Forest Reserve","polygon","Not Reported",352694,0.493,0.804,0.339
"690","Foret de Birkelane","SEN",47,"Forest Reserve","polygon","Not Reported",352637,0.642,0.87,0.315
"691","Foret de Bissine","SEN",95,"Forest Reserve","polygon","Not Reported",352685,0.467,0.797,0.308
"692","Foret de Blaz","SEN",96,"Forest Reserve","polygon","Not Reported",352686,0.467,0.797,0.308
"693","Foret de Botou","SEN",62,"Forest Reserve","polygon","Not Reported",352652,0.608,0.901,0.31
"694","Foret de Boukitingo","SEN",98,"Forest Reserve","polygon","Not Reported",352688,NA,NA,NA
"695","Foret de Boulierobe","SEN",30,"Forest Reserve","polygon","Not Reported",352620,0.554,0.723,0.354
"696","Foret de Dabo","SEN",83,"Forest Reserve","polygon","Not Reported",352673,0.603,0.86,0.385
"697","Foret de Delbi","SEN",50,"Forest Reserve","polygon","Not Reported",352640,0.61,0.82,0.293
"698","Foret de Diambour","SEN",68,"Forest Reserve","polygon","Not Reported",352658,0.594,0.899,0.327
"699","Foret de Diamel","SEN",25,"Forest Reserve","polygon","Not Reported",352615,0.585,0.792,0.336
"700","Foret de Diantene","SEN",99,"Forest Reserve","polygon","Not Reported",352689,NA,NA,NA
"701","Foret de Diatouma","SEN",80,"Forest Reserve","polygon","Not Reported",352670,0.587,0.859,0.405
"702","Foret de Djibelor","SEN",102,"Forest Reserve","polygon","Not Reported",352692,NA,NA,NA
"703","Foret de Djipakoum","SEN",105,"Forest Reserve","polygon","Not Reported",352695,0.561,0.828,0.391
"704","Foret de Fathala","SEN",67,"Forest Reserve","polygon","Not Reported",352657,0.536,0.754,0.335
"705","Foret de Goudiri","SEN",48,"Forest Reserve","polygon","Not Reported",352638,0.578,0.868,0.301
"706","Foret de Gouloumbou","SEN",109,"Forest Reserve","polygon","Not Reported",352699,0.602,0.887,0.327
"707","Foret de Kalounayes","SEN",86,"Forest Reserve","polygon","Not Reported",352676,0.53,0.817,0.376
"708","Foret de Kandiadiou","SEN",76,"Forest Reserve","polygon","Not Reported",352666,0.561,0.828,0.391
"709","Foret de Kantora","SEN",73,"Forest Reserve","polygon","Not Reported",352663,0.6,0.885,0.326
"710","Foret de Kassas","SEN",49,"Forest Reserve","polygon","Not Reported",352639,0.642,0.871,0.315
"711","Foret de Keur Momar Sarr","SEN",20,"Forest Reserve","polygon","Not Reported",352610,0.499,0.641,0.362
"712","Foret de Koudora","SEN",93,"Forest Reserve","polygon","Not Reported",352683,0.589,0.857,0.381
"713","Foret de Koulaye","SEN",82,"Forest Reserve","polygon","Not Reported",352672,0.561,0.828,0.391
"714","Foret de l'Anambe","SEN",78,"Forest Reserve","polygon","Not Reported",352668,0.599,0.858,0.381
"715","Foret de la Kayanga","SEN",85,"Forest Reserve","polygon","Not Reported",352675,0.6,0.855,0.387
"716","Foret de Leybar","SEN",22,"Forest Reserve","polygon","Not Reported",352612,NA,NA,NA
"717","Foret de Mahon","SEN",84,"Forest Reserve","polygon","Not Reported",352674,0.615,0.875,0.399
